rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682468247249244411,,78076,,1682468247,247824686,"""joystick""","[-1.0, 0.02059999480843544, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247290366511,,78077,,1682468247,288820353,"""joystick""","[-1.0, 0.010284737683832645, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247318392397,,78078,,1682468247,316176441,"""joystick""","[-1.0, 0.010284737683832645, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247346658445,,78079,,1682468247,345193344,"""joystick""","[-1.0, 0.010284737683832645, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247381761163,,78080,,1682468247,378300716,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247415204218,,78081,,1682468247,411134581,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247449399152,,78082,,1682468247,444544644,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247479374815,,78083,,1682468247,477867890,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247513804119,,78084,,1682468247,510979934,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247549321209,,78085,,1682468247,544755280,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247580617492,,78086,,1682468247,577842395,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247612815832,,78087,,1682468247,611067496,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247646936813,,78088,,1682468247,644544664,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247679330227,,78089,,1682468247,677821989,"""joystick""","[-1.0, 0.0, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247712907331,,78090,,1682468247,711603351,"""joystick""","[-1.0, 0.010284737683832645, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247751734467,,78091,,1682468247,747821695,"""joystick""","[-1.0, 0.010284737683832645, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247779707072,,78092,,1682468247,778262995,"""joystick""","[-1.0, 0.02059999480843544, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247814653405,,78093,,1682468247,812102021,"""joystick""","[-1.0, 0.03091525100171566, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
